model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
detests-mbert-3_first_comment_hard_s76_max_tokens_512,0.824,0.498,0.658,0.323,0.814,0.516,0.834,0.482,0.739,0.563,0.464,0.758,0.134,0.813,0.123,0.635,0.079,0.699,0.120,0.674,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s77_max_tokens_512,0.868,0.520,0.674,0.418,0.813,0.689,0.931,0.418,0.792,0.655,0.367,0.778,0.148,0.833,0.130,0.601,0.074,0.706,0.132,0.633,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s78_max_tokens_512,0.853,0.568,0.703,0.423,0.836,0.606,0.872,0.535,0.781,0.770,0.484,0.758,0.144,0.821,0.124,0.599,0.067,0.704,0.129,0.628,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s79_max_tokens_512,0.840,0.575,0.710,0.415,0.845,0.565,0.834,0.586,0.767,0.805,0.539,0.780,0.142,0.831,0.131,0.656,0.102,0.707,0.131,0.727,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s80_max_tokens_512,0.848,0.063,0.515,0.133,0.737,0.842,0.998,0.033,0.738,0.069,0.025,0.741,0.078,0.763,0.060,0.516,0.024,0.687,0.085,0.537,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s81_max_tokens_512,0.855,0.320,0.586,0.278,0.768,0.680,0.964,0.209,0.760,0.287,0.192,0.758,0.122,0.799,0.102,0.574,0.054,0.686,0.112,0.602,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s82_max_tokens_512,0.532,0.515,0.655,0.305,0.944,0.355,0.370,0.941,0.524,0.977,0.933,0.630,0.078,0.592,0.067,0.625,0.071,0.555,0.041,0.683,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s83_max_tokens_512,0.342,0.189,0.286,-0.393,0.505,0.135,0.258,0.314,0.273,0.115,0.357,0.502,0.001,0.501,0.001,0.502,0.001,0.501,0.001,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s84_max_tokens_512,0.192,0.256,0.310,-0.402,0.403,0.172,0.126,0.494,0.225,0.356,0.524,0.502,0.001,0.501,0.001,0.503,0.001,0.501,0.001,0.502,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s85_max_tokens_512,0.855,0.283,0.575,0.269,0.762,0.717,0.974,0.176,0.759,0.287,0.152,0.756,0.119,0.795,0.095,0.540,0.036,0.688,0.112,0.565,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s86_max_tokens_512,0.839,0.598,0.727,0.439,0.859,0.565,0.819,0.635,0.770,0.793,0.601,0.767,0.140,0.819,0.131,0.649,0.092,0.717,0.141,0.701,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s87_max_tokens_512,0.852,0.146,0.537,0.210,0.746,0.848,0.995,0.080,0.748,0.115,0.072,0.740,0.098,0.770,0.080,0.533,0.024,0.676,0.094,0.526,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s88_max_tokens_512,0.845,0.603,0.730,0.449,0.859,0.579,0.832,0.629,0.777,0.759,0.601,0.778,0.138,0.829,0.127,0.662,0.098,0.721,0.136,0.717,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s89_max_tokens_512,0.850,0.175,0.542,0.192,0.748,0.690,0.983,0.100,0.746,0.172,0.085,0.747,0.093,0.775,0.076,0.553,0.029,0.697,0.084,0.546,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s90_max_tokens_512,0.335,0.181,0.277,-0.409,0.496,0.129,0.253,0.301,0.266,0.161,0.332,0.513,0.009,0.508,0.006,0.516,0.009,0.512,0.006,0.509,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s91_max_tokens_512,0.851,0.478,0.650,0.350,0.802,0.608,0.906,0.393,0.768,0.575,0.354,0.757,0.140,0.810,0.122,0.602,0.080,0.681,0.128,0.649,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s42_max_tokens_512,0.836,0.581,0.715,0.418,0.851,0.556,0.821,0.609,0.764,0.770,0.574,0.777,0.135,0.817,0.125,0.671,0.110,0.706,0.127,0.762,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s43_max_tokens_512,0.329,0.200,0.291,-0.386,0.501,0.142,0.245,0.338,0.270,0.230,0.362,0.501,0.001,0.500,0.000,0.501,0.001,0.501,0.000,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s44_max_tokens_512,0.673,0.559,0.706,0.371,0.925,0.409,0.529,0.883,0.625,0.954,0.868,0.674,0.106,0.656,0.094,0.652,0.102,0.620,0.081,0.743,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s45_max_tokens_512,0.235,0.450,0.553,0.152,0.927,0.293,0.134,0.971,0.360,0.989,0.968,0.503,0.002,0.502,0.001,0.503,0.002,0.501,0.001,0.504,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s46_max_tokens_512,0.289,0.208,0.287,-0.405,0.471,0.145,0.208,0.365,0.251,0.230,0.394,0.501,0.001,0.500,0.000,0.501,0.001,0.501,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s47_max_tokens_512,0.250,0.189,0.258,-0.465,0.421,0.132,0.177,0.338,0.221,0.138,0.382,0.504,0.003,0.502,0.001,0.505,0.003,0.503,0.001,0.503,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s48_max_tokens_512,0.092,0.311,0.355,-0.379,0.300,0.204,0.054,0.656,0.216,0.517,0.686,0.515,0.011,0.503,0.003,0.519,0.010,0.504,0.003,0.509,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s49_max_tokens_512,0.323,0.170,0.263,-0.434,0.480,0.121,0.244,0.283,0.254,0.161,0.309,0.501,0.001,0.501,0.000,0.501,0.001,0.501,0.000,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s50_max_tokens_512,0.823,0.529,0.678,0.352,0.827,0.522,0.819,0.537,0.743,0.655,0.511,0.752,0.123,0.791,0.121,0.661,0.094,0.711,0.098,0.713,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s51_max_tokens_512,0.726,0.585,0.731,0.410,0.922,0.442,0.599,0.863,0.670,0.954,0.843,0.735,0.103,0.733,0.101,0.714,0.103,0.664,0.112,0.776,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s52_max_tokens_512,0.872,0.573,0.704,0.462,0.830,0.691,0.919,0.490,0.804,0.724,0.439,0.771,0.141,0.822,0.122,0.602,0.074,0.713,0.128,0.645,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-4_news_title_hard_s53_max_tokens_512,0.330,0.438,0.546,0.105,0.830,0.291,0.206,0.885,0.389,0.954,0.870,0.517,0.012,0.524,0.021,0.514,0.007,0.518,0.020,0.517,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
