model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
detests-roberta_bne-2_previous_comment_hard_s79_max_tokens_512,0.874,0.637,0.748,0.512,0.860,0.667,0.888,0.609,0.813,0.839,0.559,0.816,0.138,0.871,0.114,0.655,0.096,0.729,0.130,0.732,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s80_max_tokens_512,0.879,0.646,0.753,0.527,0.862,0.688,0.898,0.609,0.820,0.839,0.559,0.809,0.131,0.865,0.101,0.652,0.094,0.729,0.130,0.706,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s81_max_tokens_512,0.883,0.534,0.682,0.475,0.813,0.806,0.965,0.400,0.812,0.598,0.357,0.801,0.125,0.850,0.094,0.602,0.073,0.724,0.115,0.643,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s82_max_tokens_512,0.880,0.650,0.757,0.532,0.864,0.687,0.897,0.617,0.821,0.862,0.564,0.822,0.122,0.868,0.097,0.682,0.107,0.746,0.122,0.754,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s83_max_tokens_512,0.886,0.591,0.713,0.508,0.831,0.774,0.949,0.477,0.822,0.782,0.411,0.804,0.126,0.854,0.098,0.626,0.081,0.723,0.118,0.675,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s84_max_tokens_512,0.876,0.595,0.718,0.484,0.838,0.699,0.918,0.518,0.810,0.747,0.469,0.794,0.126,0.837,0.106,0.646,0.100,0.703,0.121,0.739,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s85_max_tokens_512,0.880,0.641,0.749,0.525,0.858,0.695,0.904,0.594,0.821,0.851,0.539,0.809,0.127,0.857,0.105,0.656,0.092,0.742,0.128,0.727,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s86_max_tokens_512,0.866,0.630,0.746,0.496,0.862,0.637,0.869,0.623,0.803,0.816,0.581,0.795,0.135,0.850,0.114,0.646,0.094,0.716,0.134,0.720,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s87_max_tokens_512,0.880,0.608,0.725,0.502,0.841,0.718,0.924,0.527,0.817,0.770,0.474,0.828,0.123,0.875,0.093,0.656,0.105,0.745,0.119,0.747,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s88_max_tokens_512,0.879,0.649,0.756,0.531,0.864,0.686,0.896,0.617,0.821,0.862,0.564,0.835,0.115,0.876,0.088,0.698,0.114,0.775,0.121,0.773,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s89_max_tokens_512,0.885,0.644,0.750,0.535,0.857,0.715,0.914,0.586,0.826,0.816,0.536,0.817,0.132,0.862,0.113,0.687,0.106,0.728,0.127,0.742,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s90_max_tokens_512,0.875,0.602,0.723,0.486,0.842,0.689,0.911,0.535,0.810,0.793,0.479,0.810,0.137,0.866,0.111,0.628,0.093,0.724,0.126,0.708,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_hard_s91_max_tokens_512,0.870,0.506,0.667,0.418,0.808,0.715,0.943,0.391,0.794,0.655,0.334,0.794,0.127,0.848,0.090,0.590,0.073,0.712,0.123,0.647,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-2_previous_comment_soft_s42_max_tokens_512,0.844,0.651,0.772,0.507,0.895,0.577,0.798,0.746,0.784,0.874,0.718,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.325,0.132,0.177,0.043,0.593,1.102,0.623,0.231,0.213
detests-roberta_bne-2_previous_comment_soft_s43_max_tokens_512,0.873,0.654,0.763,0.528,0.872,0.657,0.875,0.652,0.815,0.782,0.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.278,0.304,0.175,0.153,0.061,0.551,1.260,0.660,0.246,0.225
detests-roberta_bne-2_previous_comment_soft_s44_max_tokens_512,0.882,0.686,0.786,0.568,0.886,0.677,0.878,0.695,0.828,0.862,0.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.288,0.299,0.189,0.134,0.051,0.588,1.486,0.691,0.215,0.205
detests-roberta_bne-2_previous_comment_soft_s45_max_tokens_512,0.857,0.664,0.780,0.528,0.895,0.604,0.822,0.738,0.799,0.920,0.698,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.322,0.136,0.177,0.041,0.597,1.212,0.656,0.209,0.202
detests-roberta_bne-2_previous_comment_soft_s46_max_tokens_512,0.880,0.676,0.779,0.556,0.882,0.672,0.878,0.680,0.825,0.862,0.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.270,0.305,0.168,0.135,0.049,0.609,1.412,0.701,0.198,0.185
detests-roberta_bne-2_previous_comment_soft_s47_max_tokens_512,0.884,0.695,0.794,0.579,0.892,0.678,0.875,0.713,0.832,0.862,0.681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.285,0.298,0.206,0.159,0.055,0.558,1.272,0.658,0.264,0.238
detests-roberta_bne-2_previous_comment_soft_s48_max_tokens_512,0.870,0.668,0.777,0.539,0.885,0.640,0.855,0.699,0.813,0.874,0.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.312,0.159,0.152,0.046,0.597,1.364,0.689,0.185,0.185
detests-roberta_bne-2_previous_comment_soft_s49_max_tokens_512,0.883,0.681,0.782,0.564,0.882,0.682,0.883,0.680,0.828,0.828,0.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.259,0.295,0.160,0.170,0.070,0.518,1.148,0.633,0.280,0.242
detests-roberta_bne-2_previous_comment_soft_s50_max_tokens_512,0.883,0.682,0.783,0.565,0.883,0.682,0.883,0.682,0.829,0.851,0.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.285,0.301,0.181,0.133,0.051,0.580,1.454,0.708,0.216,0.201
detests-roberta_bne-2_previous_comment_soft_s51_max_tokens_512,0.880,0.685,0.787,0.565,0.888,0.669,0.872,0.701,0.826,0.885,0.661,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.301,0.196,0.135,0.051,0.582,1.438,0.704,0.214,0.197
detests-roberta_bne-3_first_comment_hard_s42_max_tokens_512,0.885,0.613,0.728,0.515,0.841,0.741,0.933,0.523,0.822,0.805,0.461,0.821,0.127,0.869,0.100,0.633,0.097,0.734,0.119,0.731,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s43_max_tokens_512,0.875,0.627,0.741,0.505,0.854,0.675,0.896,0.586,0.812,0.851,0.529,0.795,0.134,0.854,0.105,0.622,0.081,0.720,0.128,0.688,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s44_max_tokens_512,0.880,0.585,0.711,0.488,0.832,0.732,0.934,0.488,0.814,0.667,0.449,0.802,0.126,0.852,0.098,0.633,0.085,0.726,0.115,0.680,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s45_max_tokens_512,0.876,0.472,0.652,0.427,0.798,0.803,0.970,0.334,0.799,0.575,0.282,0.779,0.097,0.814,0.070,0.604,0.065,0.724,0.100,0.652,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s46_max_tokens_512,0.869,0.640,0.753,0.509,0.866,0.646,0.872,0.633,0.808,0.908,0.574,0.811,0.140,0.864,0.118,0.658,0.108,0.728,0.135,0.743,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s47_max_tokens_512,0.877,0.597,0.719,0.487,0.838,0.703,0.919,0.518,0.811,0.782,0.461,0.815,0.128,0.868,0.098,0.643,0.099,0.721,0.117,0.722,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s48_max_tokens_512,0.880,0.640,0.749,0.523,0.858,0.691,0.902,0.596,0.820,0.851,0.541,0.812,0.128,0.859,0.108,0.668,0.096,0.743,0.128,0.729,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s49_max_tokens_512,0.877,0.588,0.713,0.481,0.834,0.708,0.924,0.502,0.810,0.770,0.444,0.811,0.128,0.867,0.089,0.628,0.089,0.730,0.134,0.686,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s50_max_tokens_512,0.877,0.526,0.678,0.452,0.812,0.763,0.954,0.402,0.805,0.678,0.342,0.796,0.120,0.843,0.091,0.610,0.085,0.711,0.107,0.679,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s51_max_tokens_512,0.880,0.554,0.693,0.472,0.820,0.758,0.949,0.436,0.811,0.747,0.369,0.792,0.111,0.833,0.084,0.621,0.084,0.731,0.109,0.686,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s52_max_tokens_512,0.882,0.619,0.733,0.513,0.846,0.720,0.922,0.543,0.820,0.793,0.489,0.816,0.127,0.861,0.104,0.677,0.107,0.721,0.125,0.743,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s53_max_tokens_512,0.886,0.641,0.747,0.536,0.854,0.727,0.921,0.574,0.827,0.839,0.516,0.821,0.117,0.868,0.083,0.672,0.091,0.758,0.125,0.717,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s54_max_tokens_512,0.879,0.619,0.734,0.506,0.848,0.700,0.912,0.555,0.816,0.782,0.506,0.814,0.132,0.861,0.111,0.657,0.098,0.716,0.127,0.749,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s55_max_tokens_512,0.880,0.545,0.688,0.469,0.817,0.769,0.953,0.422,0.810,0.644,0.374,0.814,0.122,0.863,0.088,0.635,0.083,0.727,0.123,0.689,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s56_max_tokens_512,0.875,0.510,0.670,0.437,0.808,0.755,0.954,0.385,0.801,0.632,0.332,0.802,0.122,0.853,0.083,0.616,0.065,0.722,0.126,0.645,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s57_max_tokens_512,0.875,0.473,0.653,0.427,0.798,0.800,0.969,0.336,0.799,0.586,0.282,0.800,0.112,0.845,0.076,0.589,0.062,0.726,0.108,0.647,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s58_max_tokens_512,0.884,0.630,0.740,0.523,0.850,0.720,0.920,0.559,0.823,0.828,0.501,0.814,0.127,0.863,0.100,0.647,0.097,0.731,0.125,0.726,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s59_max_tokens_512,0.875,0.657,0.765,0.532,0.872,0.662,0.878,0.652,0.817,0.874,0.603,0.815,0.134,0.870,0.109,0.669,0.103,0.731,0.142,0.738,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s60_max_tokens_512,0.876,0.604,0.724,0.489,0.842,0.691,0.912,0.537,0.811,0.805,0.479,0.809,0.138,0.865,0.112,0.630,0.091,0.711,0.124,0.712,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s61_max_tokens_512,0.878,0.582,0.709,0.481,0.831,0.721,0.931,0.488,0.811,0.782,0.424,0.815,0.111,0.853,0.087,0.682,0.102,0.746,0.114,0.746,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s62_max_tokens_512,0.887,0.652,0.755,0.545,0.860,0.723,0.916,0.594,0.829,0.816,0.546,0.815,0.127,0.868,0.097,0.640,0.092,0.746,0.122,0.707,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s63_max_tokens_512,0.877,0.638,0.748,0.517,0.859,0.680,0.896,0.600,0.816,0.862,0.544,0.820,0.135,0.872,0.110,0.660,0.104,0.726,0.130,0.747,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s64_max_tokens_512,0.880,0.640,0.749,0.524,0.858,0.694,0.903,0.594,0.820,0.851,0.539,0.825,0.134,0.881,0.107,0.665,0.097,0.739,0.126,0.727,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s65_max_tokens_512,0.878,0.520,0.675,0.453,0.810,0.776,0.958,0.391,0.806,0.655,0.334,0.788,0.130,0.840,0.101,0.596,0.066,0.707,0.113,0.624,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s66_max_tokens_512,0.879,0.573,0.704,0.479,0.827,0.736,0.938,0.469,0.812,0.701,0.419,0.803,0.124,0.852,0.097,0.626,0.088,0.730,0.113,0.685,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s67_max_tokens_512,0.880,0.519,0.674,0.462,0.809,0.803,0.965,0.383,0.808,0.667,0.322,0.789,0.114,0.833,0.086,0.598,0.069,0.704,0.110,0.675,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s68_max_tokens_512,0.868,0.642,0.755,0.510,0.868,0.641,0.867,0.643,0.807,0.805,0.608,0.822,0.129,0.866,0.107,0.694,0.125,0.725,0.131,0.788,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s69_max_tokens_512,0.878,0.604,0.724,0.494,0.841,0.705,0.918,0.529,0.813,0.782,0.474,0.817,0.112,0.859,0.088,0.660,0.091,0.765,0.117,0.728,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s70_max_tokens_512,0.878,0.620,0.735,0.506,0.849,0.696,0.910,0.559,0.816,0.828,0.501,0.809,0.137,0.868,0.109,0.638,0.086,0.721,0.128,0.697,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s71_max_tokens_512,0.879,0.665,0.770,0.544,0.874,0.675,0.884,0.656,0.822,0.874,0.608,0.827,0.129,0.870,0.114,0.706,0.108,0.752,0.126,0.767,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s72_max_tokens_512,0.885,0.611,0.726,0.514,0.840,0.744,0.934,0.518,0.822,0.736,0.471,0.810,0.127,0.861,0.098,0.636,0.091,0.723,0.121,0.703,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s73_max_tokens_512,0.880,0.587,0.712,0.490,0.832,0.733,0.934,0.490,0.815,0.747,0.434,0.807,0.122,0.858,0.088,0.625,0.087,0.725,0.121,0.692,0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s74_max_tokens_512,0.878,0.631,0.743,0.514,0.854,0.689,0.903,0.582,0.817,0.851,0.524,0.823,0.124,0.871,0.096,0.670,0.102,0.743,0.128,0.745,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s75_max_tokens_512,0.881,0.622,0.735,0.513,0.847,0.714,0.918,0.551,0.820,0.793,0.499,0.809,0.140,0.867,0.113,0.624,0.085,0.723,0.130,0.692,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s76_max_tokens_512,0.872,0.607,0.727,0.485,0.845,0.674,0.902,0.551,0.807,0.782,0.501,0.813,0.125,0.863,0.100,0.667,0.093,0.735,0.123,0.725,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s77_max_tokens_512,0.875,0.619,0.735,0.498,0.850,0.678,0.900,0.570,0.811,0.828,0.514,0.822,0.127,0.876,0.094,0.648,0.095,0.752,0.133,0.724,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s78_max_tokens_512,0.869,0.454,0.643,0.394,0.794,0.750,0.960,0.326,0.789,0.483,0.292,0.799,0.109,0.841,0.078,0.626,0.090,0.725,0.106,0.673,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s79_max_tokens_512,0.881,0.626,0.738,0.515,0.850,0.705,0.913,0.564,0.819,0.828,0.506,0.823,0.133,0.874,0.106,0.659,0.098,0.732,0.125,0.735,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s80_max_tokens_512,0.871,0.620,0.737,0.494,0.853,0.664,0.891,0.582,0.808,0.759,0.544,0.813,0.126,0.865,0.095,0.659,0.109,0.726,0.130,0.736,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s81_max_tokens_512,0.882,0.583,0.709,0.492,0.830,0.749,0.941,0.477,0.816,0.736,0.421,0.806,0.124,0.855,0.094,0.629,0.095,0.732,0.118,0.684,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s82_max_tokens_512,0.882,0.635,0.744,0.524,0.854,0.708,0.912,0.576,0.822,0.862,0.514,0.818,0.123,0.856,0.106,0.698,0.108,0.729,0.120,0.766,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s83_max_tokens_512,0.883,0.599,0.719,0.503,0.836,0.742,0.936,0.502,0.819,0.759,0.446,0.807,0.122,0.853,0.095,0.635,0.090,0.728,0.120,0.711,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s84_max_tokens_512,0.867,0.665,0.776,0.535,0.885,0.633,0.850,0.701,0.810,0.885,0.661,0.815,0.138,0.871,0.115,0.676,0.106,0.723,0.137,0.752,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s85_max_tokens_512,0.852,0.650,0.768,0.508,0.887,0.594,0.819,0.717,0.792,0.874,0.683,0.803,0.134,0.858,0.117,0.677,0.101,0.732,0.148,0.750,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s86_max_tokens_512,0.864,0.640,0.755,0.504,0.870,0.628,0.858,0.652,0.802,0.862,0.606,0.822,0.142,0.876,0.122,0.682,0.111,0.721,0.135,0.762,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s87_max_tokens_512,0.881,0.630,0.741,0.517,0.852,0.704,0.912,0.570,0.820,0.793,0.521,0.813,0.129,0.862,0.101,0.660,0.102,0.712,0.127,0.743,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s88_max_tokens_512,0.881,0.640,0.748,0.525,0.857,0.699,0.906,0.590,0.821,0.828,0.539,0.832,0.122,0.878,0.097,0.684,0.105,0.753,0.128,0.760,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s89_max_tokens_512,0.886,0.607,0.724,0.514,0.838,0.754,0.939,0.508,0.823,0.724,0.461,0.818,0.134,0.873,0.102,0.633,0.089,0.724,0.130,0.696,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s90_max_tokens_512,0.876,0.595,0.718,0.483,0.838,0.697,0.917,0.518,0.810,0.782,0.461,0.809,0.127,0.858,0.104,0.646,0.091,0.726,0.119,0.720,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_hard_s91_max_tokens_512,0.878,0.612,0.729,0.499,0.845,0.698,0.913,0.545,0.814,0.805,0.489,0.811,0.136,0.859,0.116,0.674,0.111,0.708,0.128,0.740,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-3_first_comment_soft_s42_max_tokens_512,0.864,0.679,0.791,0.550,0.901,0.619,0.829,0.752,0.808,0.908,0.718,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.213,0.306,0.124,0.189,0.061,0.527,1.090,0.621,0.283,0.237
detests-roberta_bne-3_first_comment_soft_s43_max_tokens_512,0.860,0.664,0.778,0.529,0.891,0.612,0.831,0.725,0.802,0.839,0.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.252,0.309,0.176,0.154,0.055,0.570,1.295,0.670,0.218,0.199
detests-roberta_bne-3_first_comment_soft_s44_max_tokens_512,0.875,0.674,0.779,0.550,0.884,0.656,0.866,0.693,0.820,0.862,0.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.304,0.169,0.136,0.048,0.586,1.394,0.693,0.201,0.196
detests-roberta_bne-3_first_comment_soft_s45_max_tokens_512,0.871,0.664,0.773,0.536,0.881,0.645,0.861,0.684,0.813,0.874,0.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.305,0.153,0.152,0.052,0.576,1.262,0.662,0.203,0.202
detests-roberta_bne-3_first_comment_soft_s46_max_tokens_512,0.865,0.657,0.769,0.523,0.881,0.628,0.850,0.689,0.806,0.828,0.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.314,0.155,0.137,0.044,0.616,1.346,0.686,0.182,0.181
detests-roberta_bne-3_first_comment_soft_s47_max_tokens_512,0.881,0.702,0.803,0.586,0.901,0.665,0.862,0.744,0.830,0.908,0.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.253,0.295,0.171,0.154,0.056,0.559,1.344,0.678,0.236,0.207
detests-roberta_bne-3_first_comment_soft_s48_max_tokens_512,0.876,0.682,0.786,0.559,0.889,0.657,0.863,0.709,0.822,0.874,0.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.261,0.296,0.163,0.137,0.057,0.559,1.350,0.686,0.243,0.205
detests-roberta_bne-3_first_comment_soft_s49_max_tokens_512,0.871,0.690,0.798,0.567,0.903,0.637,0.841,0.754,0.818,0.897,0.723,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.301,0.126,0.188,0.064,0.519,1.107,0.625,0.282,0.243
detests-roberta_bne-3_first_comment_soft_s50_max_tokens_512,0.843,0.654,0.775,0.511,0.898,0.576,0.795,0.756,0.784,0.897,0.726,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.209,0.329,0.125,0.196,0.051,0.569,1.189,0.648,0.247,0.215
detests-roberta_bne-3_first_comment_soft_s51_max_tokens_512,0.875,0.663,0.770,0.538,0.877,0.659,0.872,0.668,0.817,0.885,0.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.271,0.299,0.168,0.133,0.055,0.567,1.344,0.680,0.217,0.199
detests-roberta_bne-4_news_title_hard_s42_max_tokens_512,0.864,0.676,0.787,0.546,0.897,0.621,0.833,0.742,0.808,0.897,0.708,0.824,0.140,0.873,0.126,0.689,0.113,0.756,0.144,0.778,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-4_news_title_hard_s43_max_tokens_512,0.876,0.691,0.794,0.569,0.897,0.654,0.857,0.732,0.823,0.897,0.696,0.831,0.138,0.877,0.120,0.690,0.118,0.727,0.146,0.795,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-4_news_title_hard_s44_max_tokens_512,0.862,0.676,0.789,0.546,0.900,0.615,0.826,0.752,0.806,0.897,0.721,0.818,0.140,0.860,0.127,0.689,0.114,0.717,0.147,0.807,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-4_news_title_hard_s45_max_tokens_512,0.869,0.698,0.807,0.577,0.913,0.629,0.829,0.785,0.817,0.920,0.756,0.838,0.127,0.885,0.108,0.713,0.114,0.763,0.138,0.796,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-roberta_bne-4_news_title_hard_s46_max_tokens_512,0.871,0.684,0.791,0.558,0.897,0.639,0.847,0.736,0.817,0.897,0.701,0.826,0.138,0.876,0.121,0.688,0.114,0.752,0.141,0.775,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
