model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,accuracy_no_contextual,accuracy_contextual,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
stereohoax-beto-2_txt_father_hard_s61_max_tokens_512,0.823,0.481,0.644,0.357,0.744,0.701,0.922,0.366,0.736,0.426,0.135,0.506,0.104,0.729,0.113,0.778,0.094,0.592,0.071,0.682,0.106,0.629,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s62_max_tokens_512,0.816,0.515,0.656,0.358,0.755,0.655,0.888,0.425,0.733,0.475,0.230,0.562,0.168,0.731,0.116,0.782,0.100,0.618,0.066,0.688,0.105,0.635,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s63_max_tokens_512,0.821,0.511,0.656,0.367,0.753,0.677,0.902,0.411,0.738,0.454,0.243,0.494,0.256,0.721,0.115,0.767,0.102,0.613,0.075,0.663,0.103,0.656,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s64_max_tokens_512,0.825,0.435,0.627,0.347,0.732,0.743,0.947,0.307,0.733,0.352,0.135,0.421,0.096,0.721,0.124,0.772,0.107,0.563,0.052,0.666,0.109,0.587,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s65_max_tokens_512,0.809,0.367,0.594,0.265,0.714,0.659,0.934,0.254,0.707,0.292,0.108,0.373,0.032,0.721,0.114,0.773,0.091,0.559,0.047,0.668,0.100,0.584,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s66_max_tokens_512,0.818,0.408,0.613,0.310,0.724,0.701,0.938,0.288,0.721,0.331,0.122,0.403,0.072,0.706,0.103,0.750,0.083,0.560,0.044,0.662,0.093,0.588,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s67_max_tokens_512,0.818,0.353,0.596,0.295,0.714,0.741,0.959,0.232,0.716,0.264,0.108,0.335,0.040,0.719,0.109,0.761,0.090,0.563,0.061,0.672,0.098,0.581,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s68_max_tokens_512,0.839,0.652,0.739,0.493,0.818,0.691,0.861,0.617,0.780,0.690,0.338,0.760,0.352,0.730,0.116,0.764,0.109,0.662,0.092,0.675,0.106,0.702,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s69_max_tokens_512,0.823,0.573,0.688,0.409,0.778,0.667,0.874,0.503,0.750,0.546,0.338,0.545,0.424,0.754,0.130,0.805,0.114,0.638,0.096,0.686,0.116,0.702,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s70_max_tokens_512,0.839,0.464,0.645,0.407,0.740,0.833,0.968,0.321,0.752,0.359,0.176,0.369,0.232,0.717,0.113,0.765,0.090,0.561,0.053,0.658,0.104,0.589,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s71_max_tokens_512,0.814,0.540,0.668,0.370,0.765,0.642,0.870,0.466,0.735,0.539,0.189,0.597,0.224,0.718,0.122,0.770,0.111,0.648,0.089,0.659,0.111,0.634,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s72_max_tokens_512,0.812,0.442,0.623,0.309,0.732,0.657,0.913,0.332,0.719,0.373,0.176,0.433,0.144,0.703,0.115,0.753,0.098,0.576,0.057,0.655,0.104,0.597,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s73_max_tokens_512,0.819,0.396,0.610,0.310,0.722,0.715,0.945,0.274,0.721,0.313,0.122,0.386,0.064,0.703,0.106,0.744,0.089,0.558,0.050,0.663,0.098,0.584,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s74_max_tokens_512,0.817,0.454,0.630,0.327,0.735,0.678,0.919,0.341,0.726,0.384,0.176,0.464,0.112,0.724,0.122,0.779,0.099,0.577,0.054,0.675,0.111,0.591,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s75_max_tokens_512,0.824,0.499,0.652,0.369,0.749,0.698,0.916,0.388,0.740,0.440,0.189,0.455,0.264,0.690,0.114,0.735,0.103,0.569,0.055,0.643,0.103,0.602,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s76_max_tokens_512,0.813,0.423,0.616,0.301,0.727,0.665,0.922,0.310,0.717,0.352,0.149,0.438,0.072,0.735,0.112,0.788,0.081,0.578,0.055,0.694,0.103,0.592,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s77_max_tokens_512,0.814,0.432,0.620,0.310,0.729,0.671,0.922,0.318,0.720,0.366,0.135,0.446,0.080,0.731,0.122,0.786,0.097,0.565,0.050,0.682,0.112,0.599,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s78_max_tokens_512,0.819,0.397,0.610,0.312,0.722,0.721,0.947,0.274,0.722,0.313,0.122,0.403,0.032,0.709,0.108,0.754,0.085,0.550,0.041,0.672,0.096,0.558,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s79_max_tokens_512,0.829,0.411,0.621,0.356,0.727,0.798,0.965,0.277,0.735,0.320,0.108,0.382,0.080,0.732,0.122,0.778,0.105,0.567,0.060,0.680,0.107,0.592,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s80_max_tokens_512,0.808,0.337,0.584,0.248,0.708,0.659,0.941,0.226,0.702,0.271,0.054,0.313,0.064,0.721,0.112,0.767,0.092,0.568,0.056,0.672,0.099,0.586,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s81_max_tokens_512,0.836,0.627,0.723,0.470,0.803,0.693,0.873,0.573,0.772,0.641,0.311,0.700,0.336,0.742,0.116,0.782,0.102,0.635,0.103,0.684,0.112,0.711,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s82_max_tokens_512,0.812,0.378,0.600,0.280,0.717,0.676,0.937,0.263,0.712,0.303,0.108,0.373,0.056,0.727,0.121,0.774,0.102,0.563,0.054,0.681,0.113,0.598,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s83_max_tokens_512,0.812,0.417,0.613,0.295,0.725,0.661,0.922,0.304,0.715,0.345,0.149,0.425,0.080,0.733,0.114,0.783,0.091,0.572,0.052,0.694,0.105,0.605,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s84_max_tokens_512,0.824,0.452,0.633,0.347,0.736,0.720,0.936,0.330,0.733,0.384,0.122,0.455,0.096,0.730,0.116,0.781,0.094,0.580,0.065,0.676,0.105,0.608,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s85_max_tokens_512,0.823,0.451,0.632,0.345,0.735,0.715,0.934,0.330,0.732,0.387,0.108,0.459,0.088,0.731,0.119,0.783,0.097,0.566,0.060,0.684,0.102,0.599,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s86_max_tokens_512,0.822,0.457,0.633,0.343,0.737,0.703,0.929,0.338,0.731,0.394,0.122,0.476,0.080,0.715,0.107,0.760,0.089,0.575,0.061,0.679,0.092,0.594,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s87_max_tokens_512,0.813,0.345,0.589,0.269,0.711,0.695,0.950,0.229,0.709,0.264,0.095,0.318,0.064,0.713,0.108,0.757,0.090,0.561,0.055,0.662,0.094,0.586,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s88_max_tokens_512,0.819,0.507,0.653,0.360,0.752,0.670,0.899,0.408,0.735,0.468,0.176,0.498,0.240,0.674,0.107,0.714,0.101,0.563,0.057,0.642,0.097,0.602,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s89_max_tokens_512,0.803,0.601,0.701,0.404,0.799,0.607,0.807,0.595,0.736,0.655,0.365,0.670,0.456,0.689,0.121,0.734,0.120,0.597,0.080,0.651,0.109,0.651,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s90_max_tokens_512,0.813,0.413,0.612,0.297,0.725,0.669,0.926,0.299,0.716,0.349,0.108,0.421,0.072,0.724,0.115,0.775,0.092,0.566,0.045,0.684,0.103,0.585,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_hard_s91_max_tokens_512,0.831,0.566,0.686,0.420,0.773,0.700,0.898,0.475,0.757,0.535,0.243,0.622,0.200,0.739,0.116,0.786,0.095,0.631,0.096,0.682,0.111,0.673,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-2_txt_father_soft_s42_max_tokens_512,0.855,0.673,0.754,0.534,0.824,0.737,0.890,0.619,0.799,0.694,0.329,0.741,0.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.327,0.300,0.185,0.138,0.070,0.530,1.272,0.624,0.247,0.208
stereohoax-beto-2_txt_father_soft_s43_max_tokens_512,0.849,0.598,0.708,0.479,0.784,0.768,0.926,0.490,0.781,0.563,0.205,0.582,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.446,0.314,0.271,0.142,0.067,0.486,1.294,0.610,0.339,0.265
stereohoax-beto-2_txt_father_soft_s44_max_tokens_512,0.836,0.605,0.709,0.454,0.792,0.701,0.887,0.532,0.769,0.599,0.274,0.621,0.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.351,0.319,0.166,0.155,0.071,0.520,1.265,0.608,0.281,0.236
stereohoax-beto-2_txt_father_soft_s45_max_tokens_512,0.834,0.677,0.758,0.511,0.842,0.665,0.827,0.689,0.781,0.764,0.397,0.789,0.504,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.276,0.306,0.176,0.173,0.068,0.543,1.093,0.569,0.251,0.206
stereohoax-beto-2_txt_father_soft_s46_max_tokens_512,0.855,0.687,0.765,0.545,0.835,0.726,0.877,0.653,0.802,0.718,0.397,0.741,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.315,0.297,0.195,0.163,0.072,0.532,1.252,0.590,0.233,0.205
stereohoax-beto-2_txt_father_soft_s47_max_tokens_512,0.858,0.682,0.761,0.545,0.828,0.743,0.891,0.630,0.804,0.704,0.342,0.728,0.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.288,0.294,0.147,0.152,0.078,0.520,1.131,0.586,0.266,0.226
stereohoax-beto-2_txt_father_soft_s48_max_tokens_512,0.844,0.629,0.725,0.483,0.802,0.717,0.890,0.560,0.780,0.634,0.274,0.659,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.318,0.306,0.162,0.153,0.070,0.517,1.165,0.595,0.247,0.208
stereohoax-beto-2_txt_father_soft_s49_max_tokens_512,0.855,0.697,0.772,0.553,0.843,0.719,0.869,0.675,0.804,0.750,0.384,0.754,0.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.291,0.301,0.167,0.157,0.063,0.542,1.222,0.613,0.251,0.214
stereohoax-beto-2_txt_father_soft_s50_max_tokens_512,0.862,0.661,0.747,0.540,0.812,0.779,0.919,0.574,0.804,0.623,0.384,0.647,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.342,0.304,0.165,0.166,0.070,0.498,1.193,0.581,0.358,0.274
stereohoax-beto-2_txt_father_soft_s51_max_tokens_512,0.844,0.690,0.768,0.533,0.846,0.685,0.841,0.695,0.792,0.768,0.411,0.784,0.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.267,0.304,0.161,0.186,0.062,0.552,1.114,0.542,0.245,0.216
stereohoax-beto-3_txt_head_hard_s42_max_tokens_512,0.863,0.677,0.757,0.552,0.821,0.771,0.910,0.603,0.808,0.673,0.338,0.725,0.376,0.726,0.086,0.744,0.068,0.646,0.101,0.698,0.089,0.714,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s43_max_tokens_512,0.805,0.100,0.524,0.155,0.677,0.826,0.994,0.053,0.680,0.053,0.054,0.060,0.040,0.640,0.058,0.657,0.050,0.515,0.012,0.610,0.053,0.526,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s44_max_tokens_512,0.819,0.460,0.633,0.336,0.737,0.685,0.920,0.346,0.729,0.408,0.108,0.485,0.088,0.727,0.107,0.775,0.082,0.594,0.057,0.685,0.105,0.615,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s45_max_tokens_512,0.804,0.059,0.515,0.131,0.673,0.917,0.999,0.031,0.675,0.035,0.014,0.030,0.032,0.581,0.034,0.589,0.031,0.501,0.000,0.568,0.032,0.513,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s46_max_tokens_512,0.811,0.204,0.550,0.217,0.690,0.778,0.983,0.117,0.694,0.127,0.081,0.155,0.048,0.595,0.052,0.607,0.051,0.514,0.009,0.579,0.045,0.532,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s47_max_tokens_512,0.807,0.105,0.527,0.177,0.678,0.909,0.997,0.056,0.683,0.060,0.041,0.082,0.008,0.612,0.046,0.627,0.039,0.520,0.002,0.587,0.044,0.524,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s48_max_tokens_512,0.816,0.307,0.580,0.270,0.705,0.750,0.968,0.193,0.709,0.211,0.122,0.215,0.152,0.645,0.080,0.670,0.074,0.536,0.027,0.615,0.070,0.555,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s49_max_tokens_512,0.830,0.473,0.644,0.375,0.742,0.747,0.941,0.346,0.743,0.398,0.149,0.399,0.248,0.618,0.067,0.637,0.066,0.561,0.045,0.596,0.054,0.578,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s50_max_tokens_512,0.845,0.552,0.684,0.451,0.766,0.788,0.943,0.425,0.770,0.465,0.270,0.494,0.296,0.704,0.107,0.743,0.097,0.578,0.054,0.659,0.096,0.631,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s51_max_tokens_512,0.830,0.372,0.609,0.355,0.719,0.859,0.980,0.237,0.732,0.282,0.068,0.305,0.112,0.683,0.088,0.712,0.076,0.555,0.050,0.650,0.084,0.575,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s52_max_tokens_512,0.816,0.451,0.628,0.325,0.735,0.676,0.919,0.338,0.725,0.391,0.135,0.378,0.264,0.605,0.062,0.623,0.061,0.540,0.036,0.592,0.056,0.569,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s53_max_tokens_512,0.805,0.070,0.517,0.145,0.674,0.929,0.999,0.036,0.677,0.035,0.041,0.039,0.032,0.608,0.043,0.623,0.037,0.506,0.000,0.582,0.039,0.513,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s54_max_tokens_512,0.856,0.660,0.746,0.527,0.814,0.751,0.902,0.589,0.798,0.644,0.378,0.665,0.448,0.726,0.116,0.769,0.104,0.610,0.080,0.668,0.111,0.677,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s55_max_tokens_512,0.805,0.090,0.521,0.143,0.676,0.810,0.994,0.047,0.678,0.046,0.054,0.052,0.040,0.555,0.026,0.560,0.024,0.506,0.006,0.547,0.025,0.509,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s56_max_tokens_512,0.812,0.163,0.543,0.226,0.686,0.914,0.996,0.089,0.693,0.095,0.068,0.112,0.048,0.600,0.048,0.615,0.043,0.510,0.006,0.578,0.042,0.518,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s57_max_tokens_512,0.833,0.521,0.665,0.404,0.756,0.738,0.929,0.402,0.753,0.458,0.189,0.476,0.264,0.669,0.099,0.695,0.097,0.552,0.042,0.659,0.089,0.602,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s58_max_tokens_512,0.827,0.456,0.635,0.358,0.737,0.738,0.941,0.330,0.737,0.366,0.189,0.399,0.200,0.674,0.096,0.704,0.090,0.564,0.053,0.646,0.088,0.602,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s59_max_tokens_512,0.824,0.405,0.616,0.334,0.725,0.756,0.955,0.277,0.729,0.317,0.122,0.318,0.200,0.649,0.084,0.682,0.075,0.539,0.036,0.613,0.070,0.558,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s60_max_tokens_512,0.806,0.100,0.524,0.163,0.677,0.864,0.996,0.053,0.681,0.060,0.027,0.077,0.008,0.674,0.070,0.697,0.060,0.529,0.018,0.634,0.064,0.535,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s61_max_tokens_512,0.854,0.677,0.757,0.534,0.827,0.729,0.882,0.631,0.799,0.701,0.365,0.717,0.472,0.749,0.127,0.795,0.111,0.628,0.094,0.684,0.117,0.705,0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s62_max_tokens_512,0.810,0.516,0.654,0.345,0.755,0.632,0.873,0.436,0.727,0.479,0.270,0.511,0.296,0.675,0.106,0.712,0.103,0.579,0.057,0.647,0.097,0.619,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s63_max_tokens_512,0.829,0.454,0.636,0.367,0.737,0.758,0.948,0.324,0.740,0.356,0.203,0.369,0.240,0.689,0.105,0.730,0.094,0.549,0.045,0.635,0.089,0.609,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s64_max_tokens_512,0.807,0.160,0.538,0.183,0.683,0.762,0.986,0.089,0.687,0.102,0.041,0.103,0.064,0.584,0.043,0.592,0.041,0.510,0.007,0.575,0.040,0.523,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s65_max_tokens_512,0.811,0.312,0.578,0.249,0.705,0.692,0.955,0.201,0.703,0.225,0.108,0.236,0.136,0.585,0.056,0.597,0.056,0.518,0.015,0.576,0.050,0.534,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s66_max_tokens_512,0.807,0.164,0.538,0.183,0.684,0.750,0.985,0.092,0.687,0.095,0.081,0.107,0.064,0.588,0.040,0.598,0.035,0.518,0.010,0.574,0.039,0.522,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s67_max_tokens_512,0.812,0.323,0.582,0.259,0.707,0.701,0.955,0.209,0.706,0.232,0.122,0.258,0.120,0.605,0.057,0.624,0.052,0.525,0.018,0.584,0.052,0.546,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s68_max_tokens_512,0.837,0.648,0.737,0.487,0.816,0.685,0.859,0.615,0.777,0.694,0.311,0.730,0.400,0.733,0.121,0.773,0.110,0.614,0.088,0.676,0.113,0.713,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s69_max_tokens_512,0.815,0.469,0.635,0.330,0.740,0.663,0.908,0.363,0.726,0.412,0.176,0.408,0.280,0.644,0.083,0.672,0.076,0.568,0.054,0.619,0.080,0.588,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s70_max_tokens_512,0.854,0.577,0.698,0.487,0.774,0.824,0.952,0.444,0.783,0.486,0.284,0.541,0.264,0.745,0.129,0.801,0.105,0.582,0.057,0.677,0.121,0.624,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s71_max_tokens_512,0.817,0.357,0.596,0.288,0.714,0.720,0.954,0.237,0.715,0.268,0.122,0.266,0.184,0.613,0.068,0.633,0.067,0.542,0.031,0.593,0.057,0.553,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s72_max_tokens_512,0.800,0.401,0.600,0.253,0.720,0.600,0.899,0.302,0.700,0.338,0.162,0.339,0.232,0.589,0.055,0.601,0.055,0.543,0.033,0.583,0.052,0.557,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s73_max_tokens_512,0.818,0.370,0.600,0.297,0.717,0.724,0.952,0.249,0.717,0.275,0.149,0.292,0.168,0.620,0.064,0.640,0.058,0.538,0.033,0.602,0.059,0.556,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s74_max_tokens_512,0.835,0.489,0.653,0.400,0.746,0.776,0.948,0.358,0.751,0.387,0.243,0.421,0.240,0.710,0.118,0.754,0.105,0.590,0.061,0.646,0.106,0.631,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s75_max_tokens_512,0.842,0.513,0.665,0.429,0.753,0.804,0.954,0.377,0.761,0.415,0.230,0.421,0.296,0.719,0.115,0.761,0.104,0.580,0.061,0.675,0.096,0.612,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s76_max_tokens_512,0.815,0.476,0.638,0.334,0.742,0.662,0.905,0.372,0.727,0.426,0.162,0.519,0.096,0.739,0.119,0.797,0.090,0.590,0.051,0.694,0.110,0.614,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s77_max_tokens_512,0.818,0.382,0.605,0.303,0.719,0.721,0.950,0.260,0.719,0.285,0.162,0.279,0.224,0.615,0.070,0.635,0.066,0.532,0.028,0.594,0.065,0.554,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s78_max_tokens_512,0.812,0.386,0.603,0.284,0.719,0.674,0.934,0.271,0.713,0.306,0.135,0.369,0.088,0.681,0.096,0.723,0.079,0.549,0.030,0.642,0.085,0.567,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s79_max_tokens_512,0.824,0.312,0.588,0.319,0.708,0.872,0.986,0.190,0.720,0.215,0.095,0.258,0.064,0.692,0.094,0.724,0.082,0.551,0.051,0.648,0.083,0.566,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s80_max_tokens_512,0.800,0.438,0.615,0.276,0.729,0.603,0.887,0.344,0.705,0.384,0.189,0.391,0.256,0.656,0.098,0.688,0.095,0.561,0.057,0.631,0.090,0.600,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s81_max_tokens_512,0.830,0.396,0.617,0.360,0.724,0.830,0.973,0.260,0.735,0.306,0.081,0.348,0.096,0.687,0.102,0.726,0.088,0.552,0.039,0.634,0.088,0.572,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s82_max_tokens_512,0.799,0.237,0.549,0.167,0.690,0.596,0.950,0.148,0.682,0.173,0.054,0.167,0.112,0.592,0.050,0.606,0.047,0.521,0.018,0.581,0.047,0.534,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s83_max_tokens_512,0.831,0.509,0.659,0.391,0.752,0.729,0.927,0.391,0.748,0.430,0.243,0.451,0.280,0.721,0.117,0.761,0.108,0.588,0.064,0.670,0.106,0.659,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-beto-3_txt_head_hard_s84_max_tokens_512,0.834,0.509,0.661,0.402,0.752,0.750,0.936,0.385,0.752,0.447,0.149,0.511,0.152,0.720,0.117,0.769,0.098,0.578,0.053,0.673,0.103,0.603,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
